0,1,2
2020-04-03 23:59:50+00:00,"Somebody gave birth to twins in #India, decided to name them Corona and Covid. I hope you will not tow that path, remember 40years is a very long time to wait. May God bless you and provide for you ma",AgboolaFS
2020-04-03 23:59:32+00:00,It is indeed a pleasure. The simple understanding of this disparity is all it takes not to be Condescending and cynical while commenting on efforts been taking in India. Thanks for being sensitive @Revkin. Hoping other experts were this sensitive. #Covid_19,AbhishekDesai88
2020-04-03 23:59:25+00:00,@AlvaroMorte You're amazing professor #MoneyHeist4 is the best one.see you soon guys ...lots of love from India . Thanks @netflix @NetflixIndia @NetflixES #StayHomeStaySafeSaveLives #StayAwareStaySafe #Covid_19,tarun_vyas
2020-04-03 23:59:24+00:00,Happy Birthday You share this day with twins Born in India Corona and Covid ,Moxi_Mimi
2020-04-03 23:59:20+00:00,A twins have been named Corona and Covid in India.,OloweOladipo
2020-04-03 23:58:37+00:00,"@cnnbrk COVID-19 Patients are recovering world over without specific medicine/ vaccine. DD News India has advised people to improve the immune system, which obviously, is killing the virus with antibodies. This info could stop the virus, lives could be saved ! ?",allrecol
2020-04-03 23:56:55+00:00,http://globalnews.ca/news/6773086/coronavirus-covid-corona-twins-india/ @RickeySmiley you said this. Twin babies names covid and Corona in India. Googled it,tnja39
2020-04-03 23:55:22+00:00,"Amid the coronavirus lockdown in #India, an Indian couple decided to put a “positive” spin on the pandemic by naming their different sex twins, Covid and #Corona. #Covid is the baby boy’s name and Corona is the baby… https://www.instagram.com/p/B-ibR25pdwH/?igshid=3o3acyh9v9qi",TheAnkhLife
2020-04-03 23:55:03+00:00,Total number of corona 19 cases in India rises to 3082; Covid-19 cases in Delhi mount to 386 with two more deaths ,icjtv24
2020-04-03 23:54:57+00:00,So a couple in India named their twins Covid and Corona. I want to fight them. ,Bijaii
2020-04-03 23:49:33+00:00,"Na Índia, gêmeos ganham os nomes de Corona e Covid https://amazonasnoticias.com.br/na-india-gemeos-ganham-os-nomes-de-corona-e-covid/?utm_source=dlvr.it&amp;utm_medium=twitter",am_noticias
2020-04-03 23:49:17+00:00,I stand in solidarity with my PM. Shall be there with my Nation on April 05/2020 at 9pm for 9min & ensure that India leads humanity 2 the path of brightness from depth of darkness. PM Modi's COVID-19 related message to the nation http://nm-4.com/82b9 via NaMo App,PnathRatan
2020-04-03 23:48:58+00:00,"@narendramodi Respected Sir, I really appreciate your hard work day and night to save and grow India. India has been following great practise to protect Indians against COVID-19. few people are misusing Tik-Tok and spreading vicious videos. Sir, please ban Tik-Tok to save India.",nathen_vyas
