0,1,2
2020-04-07 23:59:52+00:00,"Gwalior News In Hindi : Gwalior scientist makes rapid card kit, National Institute of Virology Center Pune approves the kit Coronavirus in India, MP Coronavirus Cases, Virus Cases in MP, COVID-19 Cases, Corona Virus Cases in… https://srkarinaukri.com/wp/gwalior-news-in-hindi-gwalior-scientist-makes-rapid-card-kit-national-institute-of-virology-center-pune-approves-the-kit-coronavirus-in-india-mp-coronavirus-cases-virus-cases-in-mp-covid-19-case/",SirajKh52698624
2020-04-07 23:59:01+00:00, Llaman #Corona y #Covid a gemelos que nacieron en la #India durante cuarentena ,azteca_tamps
2020-04-07 23:58:35+00:00,Tamil Nadu records 69 new coronavirus COVID-19 cases; 63 returned from Tablighi Jamaat event | India News https://newsattend.com/tamil-nadu-records-69-new-coronavirus-covid-19-cases-63-returned-from-tablighi-jamaat-event-india-news/,TargetPossible
2020-04-07 23:58:13+00:00,rumours of Hundreds of Nepalese stuck at India border amid COVID-19 lockdown,trstdtravlr
2020-04-07 23:58:08+00:00,"Ensure Rogue COVID-19 Posts Don't Go Viral: India Tells Facebook, TikTok - https://trendingatoz.com/?p=39336",TrendingAtoZ
2020-04-07 23:57:47+00:00,spain: Covid-19: Spain’s daily virus death toll spikes to 743 after drop – Times of India ,News2428678441
2020-04-07 23:56:41+00:00,"Lockdown should increased further for this whole month, compulsory to free India from #Covid_19 But yes this have its own big challenges mainly for daily wagers and poor people.",abhialive11
2020-04-07 23:56:33+00:00,"Brasil, Índia e Nigéria são os países que mal tratam mais o trabalhador na cris do COVID-19",FRANKLI40510774
2020-04-07 23:55:56+00:00,"'It’s been an absolute nightmare': Canadian family pays $6,000 to come home from India amid COVID... https://ca.yahoo.com/news/canadian-family-india-trip-covid-212314237.html no different than any other 3rd party travel agent like @flighthub via @aircanada SCAMMERS! All of them! @cp24 @cbcnews @citynews @newstalk1010 @680news",vote4rcanada
2020-04-07 23:55:23+00:00,"Ensure Rogue COVID-19 Posts Don’t Go Viral: India Tells Facebook, TikTok ",NewsNationGlob1
2020-04-07 23:53:31+00:00,How COVID-19 Will Hit India https://www.newyorker.com/news/q-and-a/how-covid-19-will-hit-india?utm_source=twitter&amp;utm_medium=social&amp;utm_campaign=onsite-share&amp;utm_brand=the-new-yorker&amp;utm_social-type=earned via @NewYorker,PhiloShrink
2020-04-07 23:53:15+00:00,Experts warn India could become next COVID-19 hotspot - Global Times ,ARTHURGCARTER1
2020-04-07 23:53:10+00:00,"Ensure Rogue COVID-19 Posts Don’t Go Viral: India Tells Facebook, TikTok ",digitaltariq
2020-04-07 23:52:00+00:00,"Center/States are Evading the Responsibilities, want to hide their INCOMPETENCE. 40 crore informal sector workers in India will be further pushed into poverty due to #COVID acc to Intl Labour Org but why would that bother these B&amp;D presswalas #Covid19India #LockdownWithoutPlan",nonymous_i
2020-04-07 23:51:51+00:00,"#LeerParaCreer | Nombran ""Corona"" y ""Covid"" a gemelos nacidos en cuarentena en la India #COVID19 #Coronavirus",ElHorizontemx
2020-04-07 23:51:30+00:00,The wealthy international ruling class is using the COVID19 pandemic--which won't kill nearly as many as the other respiratory infections--to implement their agenda of population reduction & totalitarian Police State. India has low COVID numbers but faces famine from Lockdown.,GregoryFegel
2020-04-07 23:51:27+00:00,Are Smartphones An Essential Item Whose Sales in India Be Resumed Amid COVID-19 Lockdown? https://latesttechnews.org/technology-news/apple/are-smartphones-an-essential-item-whose-sales-in-india-be-resumed-amid-covid-19-lockdown/,MediaDusk
2020-04-07 23:50:34+00:00,"Testing Trace _isolate Treatment Team work and Tracking for Taming the Corona crisis India registers 13 deaths, over 500 COVID-19 cases in 24 hours as total infections surge to 4,789; cluster containment working, says health ministry - Firstpost ",DineshMakuny
2020-04-07 23:50:00+00:00,"En India, se dobló el número de casos por contagio de #Covid-19 en menos de una semana. Ahora 4.062 personas padecen el brote y por lo menos 109 se han convertido en víctimas fatales de las cuales 32 murieron en las últimas 24 horas. #NoticiasTeleamiga",Canalteleamiga
2020-04-07 23:49:36+00:00,"Ensure Rogue COVID-19 Posts Don’t Go Viral: India Tells Facebook, TikTok https://www.miltonnewsdaily.com/ensure-rogue-covid-19-posts-dont-go-viral-india-tells-facebook-tiktok/",Miltonnewsdail1
2020-04-07 23:48:20+00:00,It breaks my heart as I am far away and cannot be there with my mother who is a cancer survivor. I don’t know when I would be able to travel India and be with my family in this difficult time. This is how covid-19 has impacted my life.,mittaldeepti11
2020-04-07 23:48:20+00:00,"My father passed away yesterday evening due to a heart attack. I couldn’t travel from Germany to India because of travel restrictions due to COVID-19. My sister who lives in India in another city and I, watched his last rites on a video call.",mittaldeepti11
2020-04-07 23:46:57+00:00,"Coronavirus in India Highlights: 4,281 infected with COVID-19; death toll at 111 https://m.businesstoday.in/story/coronavirus-live-updates-india-lockdown-active-cases-us-spain-italy-tamil-nadu-mumbai-delhi/1/400227.html?utm_source=twitter&amp;utm_medium=WAP via @BT_India",Nandu2341
2020-04-07 23:46:39+00:00,India Will Soon Cure COVID-19 Patients With Ayurvedic Treatment: Minister https://thetechoftomorrow.com/india-will-soon-cure-covid-19-patients-with-ayurvedic-treatment-minister/,ttechoftomorrow
2020-04-07 23:46:15+00:00,"#IndiaFightsCorona Led by PM Modi, India is battling COVID-19 with all its might. India’s response mechanisms are being closely watched over and appreciated by the rest of the world. via NaMo App",StymSnh
2020-04-07 23:45:49+00:00,Attacks on Muslims in the Name of #COVID19 Surge Across India. #COVID #Muslim #Islamophobia #Islamophobicindianmedia @IndiasMuslims,Fasnas2020
2020-04-07 23:45:05+00:00,"Nombran ""Corona"" y ""Covid"" a gemelos nacidos en cuarentena en la India https://bit.ly/2Rkksx7",ElHorizontemx
2020-04-07 23:44:53+00:00,"Average age of India’s Covid deaths 60; diabetes, BP common co-ailments http://toi.in/sbtSEY/a24gk via @timesofindia",RSRINIVASABABU1
2020-04-07 23:44:51+00:00,Kerala Develops India's First Walk-In Kiosk For Coronavirus Test | COVID-19 India ,TOPTECHWORLD
2020-04-07 23:43:45+00:00,"Economists revise India’s growth forecast in less than a month due to uncertain impact of COVID-19, Auto News, ET Auto https://go.dsmenders.com/economists-revise-indias-growth-forecast-in-less-than-a-month-due-to-uncertain-impact-of-covid-19-auto-news-et-auto/",GoNewsIndia1
2020-04-07 23:43:03+00:00,"@NewsHour Rather than confronting the real issues in America, like Trump's deplorable handling of the COVID-19 crisis, you spend time interviewing ambulance drivers about what their job is like. What about Trump pushing Hydroxychloroquine, striking a private deal with India, etc.",MeerkatMac
2020-04-07 23:41:50+00:00,@myogiadityanath @112UttarPradesh Police should be more strict &amp; vigilant as some patients in hospitals and seclusion wards are not behaving!! #covidindia ,amitravikumar
