0,1,2
2020-05-12 23:59:59+00:00,"Whether it's about invasion of the covid virus or the invasion of migrants, any island nation needs to seize that advantage and totally isolate. Europe is part of a massive landmass extending to the eastern tip of Russia to the southern tip of India. Genie already out of bottle.",ColinSeymour9
2020-05-12 23:59:33+00:00,India's Jubilant signs licensing deal for Gilead's COVID-19 drug https://in.reuters.com/article/health-coronavirus-gilead-sciences-idINKBN22O2HB?taid=5ebb38633e01670001c547fe&amp;utm_campaign=trueAnthem%3A+Trending+Content&amp;utm_medium=trueAnthem&amp;utm_source=twitter,ReutersIndia
2020-05-12 23:59:19+00:00,"Mission Sagar: India’s initiative to assist Island nations - Comoros, Maldives, Mauritius, Madagascar &amp; Seychelles in their fight against the #COVID-19 pandemic. @fekita_u @UNOHRLLS @BandeTijjani @UNECOSOC @TheUNTimes @WHO @DrTedros #IndiaFightsCoronavirus",NagNaidu08
2020-05-12 23:57:18+00:00,US Commits $3.6 Million to Assist India with Rapid COVID-19 Testing ,MrLorag
2020-05-12 23:56:58+00:00,"The government of India has initiated a “Mission Sagar” as a part of its efforts to send medical aid to five Island nations in the Indian Ocean amid COVID-19 pandemic. In this regard, INS Kesari departed for Maldives, Mauritius, Seychelles, Madagascar, and Comoros",365Current
2020-05-12 23:55:49+00:00,India’s travel and tourism leaders on post-COVID economic scene ,worldtourismnow
2020-05-12 23:55:03+00:00,India’s travel and tourism leaders on post-COVID economic scene http://dlvr.it/RWX803 #rebuildingtravel #travel #news,eTurboNews
2020-05-12 23:54:28+00:00,US covid relief(2 Trillion $)is 10x bigger than India while having only 1/4th the population of India,umar33529842
2020-05-12 23:54:04+00:00,India also 6x the population of Pakistan. And US covid relief(2 Trillion $)is 10x bigger than India while having only 1/4th the population of India,umar33529842
2020-05-12 23:53:42+00:00,India also 6x the population of Pakistan. And US covid relief(2 Trillion $)is 10x bigger than India while having only 1/4th the population of India,umar33529842
2020-05-12 23:53:18+00:00,Covid-19: What you need to know today - india news https://www.today-24.com/2020/05/12/covid-19%e2%80%89what-you-need-to-know-today-india-news/?fe... https://www.today-24.com/2020/05/12/covid-19%e2%80%89what-you-need-to-know-today-india-news/?feed_id=7621&amp;_unique_id=5ebb36edcb796,Today2410
2020-05-12 23:52:43+00:00,India also 6x the population of Pakistan. And US covid relief(2 Trillion $)is 10x bigger than India while having only 1/4th the population of India,umar33529842
2020-05-12 23:52:22+00:00,"I see indirectly PM referred to Mahindra when he said self reliance,Local Brand,Make in India.. I wish under your leadership,Mahindra Brand to take India to higher level in Post Covid 19 world order..",Ankit_jain123
2020-05-12 23:52:11+00:00,Very well articulated @rnivruti @CSIR_IND looks forward to working closely with @IntelIndia @IGIBSocial @iiit_hyderabad Technology crucial in combating COVID-19: Intel India head ,shekhar_mande
2020-05-12 23:51:58+00:00,India also 6x the population of Pakistan. And US covid relief(2 Trillion $)is 10x bigger than India while having only 1/4th the population of India,umar33529842
2020-05-12 23:51:18+00:00,"Wow my country is going to super power. #AatmanirbharBharat When the COVID-19 crisis started not even a single PPE kit was manufactured in India, only a few N95 masks were available. Today 2 Lakh PPE kits and 2 Lakh N95 masks are manufactured in India daily. via NaMo App",BhimSenSah2
2020-05-12 23:51:05+00:00,"Add to that 1-expats returning are not quarantining 2-Lack of monitoring on measures like curfews & trusting individuals to ‘stick with protocol’ turned out to be disastrous. 3-lack of transparency on covid in Leb We need intense measures like Jordan, Morocco and India.",mirvatermos
2020-05-12 23:49:21+00:00,We have to ensure rural India remains free of COVID-19; people follow social distancing norms: PM Modi to CMs https://www.timesnownews.com/india/article/we-have-to-ensure-rural-india-remains-free-of-covid-19-people-follow-social-distancing-norms-pm-modi-to-cms/590346 via NaMo App,DrNeera9825089
2020-05-12 23:49:07+00:00,"This is wonderful. Thank for this and for your analysis. Obviously Covid-19 is a short term factor, but I've been following India's investments in solar and wind in particular and it's great to see it having this effect.",PranMan
2020-05-12 23:48:43+00:00,"India’s recovery rate now at 31.15%, 20,917 people cured of Covid-19 https://www.hindustantimes.com/india-news/india-s-recovery-rate-now-at-31-15-20-917-people-have-recovered-from-covid-19/story-onaMojhr2iA2ikFyJhHpeK.html via NaMo App",DrNeera9825089
2020-05-12 23:47:15+00:00,India’s travel and tourism leaders on post-COVID economic scene https://buxx.me/indias-journey-and-tourism-leaders-on-post-covid-financial-scene/,BuxxNews
2020-05-12 23:47:08+00:00,"India makes no effort to test those who die of flu like symptoms so that data is incomplete also, death from or death with covid... Many countries only count deaths from covid. If someone dies from a heart condition while covid positive, they don't count it",gaydraka
2020-05-12 23:45:03+00:00,Glenmark begins Phase-3 clinical trials on antiviral drug Favipiravir for COVID-19 patients in India - The Hindu ,GHiggins18
2020-05-12 23:44:05+00:00,"""Aap Udisha se ho?"" ""Yeh Cuttack kaun se state me aata hai?"" ""Odisha joh West Bengal ke side me hai, wohi naa?"" ""Orissa? Puri Jagannath wala?"" This is #Odisha. #proudodisha #India #Kerala #IndiaFightsCorona #Covid_19india #Odisha @Naveen_Odisha #OdishaFightsCorona",AnsumanSpace
2020-05-12 23:39:27+00:00,"More tech can help small biz survive Covid, says Zinnov - Times of India https://thedevtalk.com/article/id/272011ca9788a22344f75e851cd42a2c",dorelidan
2020-05-12 23:38:20+00:00,"Trump's blame on China for covid'19 without concrete evidence, is same like India blames Pakistan for every single terror attack having balloon, pigeon as evidence. Kalbhushan Jadev, Raymond Davis, Abhinandan Varthaman, enough ans. of your next question. ",mRmACHS
2020-05-12 23:37:45+00:00,"Your thoughts and words are against the Ethos of the Constitution of India.We tolerate http://you.You start tolerating India ,during and after Covid-19 Pandemic,with a sense of humane humanity.",SushilK70770326
2020-05-12 23:36:42+00:00,Glenmark begins phase 3 of clinical trials on antiviral Favipiravir for COVID-19 patients in India https://mumbaimirror.indiatimes.com/coronavirus/news/glenmark-begins-phase-3-of-clinical-trials-on-antiviral-favipiravir-for-covid-19-patients-in-india/articleshow/75691152.cms via @mumbaimirror,drvshkrishnan
2020-05-12 23:36:33+00:00,Focus on Covid in Quad Plus meet | India News – Times of India ,icjtv24
