,Date,Text,User
0,2020-06-11 17:38:37,"RT @V6_Suresh: Breaking : 10 from #BanjaraHills police station tested #COVID positive. 
One sub- inspector and 9 constables infected.#Telan…",SaahoPrasad
1,2020-06-11 17:38:07,Civic Body’s No-Test Order To Mumbai’s Largest Lab Can Hit COVID Battle #image# https://t.co/GNF6R2vVov,NR_abuaimal
2,2020-06-11 17:38:01,Nothing has gone right since #lockdown has been relaxed. #COVID cases are on sharp rise. Please rethink and #SaveLives. Life is precious. 🙏,jppattanaik
3,2020-06-11 17:37:53,"RT @V6_Suresh: Breaking : 10 from #BanjaraHills police station tested #COVID positive. 
One sub- inspector and 9 constables infected.#Telan…",macha_ankanna
4,2020-06-11 17:37:47,"RT @CoreenaSuares2: #JUSTIN: 10 from #BanjaraHills police station tested #COVID positive. 
One sub- inspector and 9 constables infected.",TeluguCinema
5,2020-06-11 17:37:40,"RT @CoreenaSuares2: #JUSTIN: 10 from #BanjaraHills police station tested #COVID positive. 
One sub- inspector and 9 constables infected.",rebelabhilash
6,2020-06-11 17:37:30,"RT @CoreenaSuares2: #JUSTIN: 10 from #BanjaraHills police station tested #COVID positive. 
One sub- inspector and 9 constables infected.",ssk_twiter
7,2020-06-11 17:37:23,"RT @bonthu_sridevi: On the occasion of the World Environment Day, the Society for Health Education and Economic Progress at Borobanda, who…",MerazhasanT
8,2020-06-11 17:37:13,"https://t.co/DWV9Yk3pQ3.
#COVID__19 . Girls most #vulnerable. Promote #GirlChildEducation. Provide incentives to in… https://t.co/0hknJRCjPQ",tkp1080
9,2020-06-11 17:37:00,"Covid_19 brings new opportunities to retail industry.

Via: https://t.co/Z4Kja5OAKx

#fashion #fashionupdate… https://t.co/SGHrQ7zHfC",gojeeto
10,2020-06-11 17:36:56,"RT @CoreenaSuares2: #JUSTIN: 10 from #BanjaraHills police station tested #COVID positive. 
One sub- inspector and 9 constables infected.",TVRNSarma
11,2020-06-11 17:36:54,"RT @V6_Suresh: Breaking : 10 from #BanjaraHills police station tested #COVID positive. 
One sub- inspector and 9 constables infected.#Telan…",7795Sathish
12,2020-06-11 17:36:47,RT @Jithu_Ane_Nenu: 35 yr old man from Mehdipatnam tested positive for #Covid_19 and admitted at #GandhiHospital on 9th June. Lost life on…,Urs_SuryaBhai
13,2020-06-11 17:36:41,"A ray that will lead you from the darkness to the light of success.
#Bhautikandhariya #COVID https://t.co/qtY6eGvHt5",premtheway
14,2020-06-11 17:36:38,"RT @studentsupdate0: #cancelOUexams
one of the Employee of osmania university was expired due to Covid ,So please Cancel exams and promote…",Mohamme98203384
15,2020-06-11 17:36:24,"RT @CoreenaSuares2: #JUSTIN: 10 from #BanjaraHills police station tested #COVID positive. 
One sub- inspector and 9 constables infected.",its_srinu
16,2020-06-11 17:36:16,"RT @V6_Suresh: Breaking : 10 from #BanjaraHills police station tested #COVID positive. 
One sub- inspector and 9 constables infected.#Telan…",viraat_hinduu
17,2020-06-11 17:36:00,"RT @Kiransairamcha1: #cancelOUexams
So bad hear that one of our student was died due to Covid ,So please Cancel exams and promote all the s…",spideeyy_
18,2020-06-11 17:35:38,"RT @studentsupdate0: #cancelOUexams
one of the Employee of osmania university was expired due to Covid ,So please Cancel exams and promote…",Deepika14201
19,2020-06-11 17:35:37,"RT @TrendsCBN: Why #TRSGovtFailed to initiate the newly 1500 bedded COVID-19 exclusive hospital (TIMS), It has been more than month since i…",dostbhaiya
20,2020-06-11 17:35:26,"RT @manabalayya: This is totally next level.
Playing the teaser in theater amidst lock down😳🙏, probably the first time in world post covid…",Ram9542265792
21,2020-06-11 17:35:24,"RT @MPsantoshtrs: Let's Embrace Season-3 #GreenIndiaChallenge. Amid #COVID situation all over, let us reconnect ourselves with the #Nature.…",TeamTWTPOffi
22,2020-06-11 17:35:22,"RT @MPsantoshtrs: Let's Embrace Season-3 #GreenIndiaChallenge. Amid #COVID situation all over, let us reconnect ourselves with the #Nature.…",SatishTRS
23,2020-06-11 17:35:17,"#TRSGovtFailed
35 yr old man from Mehdipatnam tested positive for #Covid_19 and admitted at #GandhiHospital on 9th… https://t.co/iZW7d3f8FA",MohdFasiuddin10
24,2020-06-11 17:35:02,A Family With Five Doctors — And Two COVID Deaths https://t.co/jGz8ywqrwZ,hscelebrities
25,2020-06-11 17:34:54,"RT @V6_Suresh: Breaking : 10 from #BanjaraHills police station tested #COVID positive. 
One sub- inspector and 9 constables infected.#Telan…",TyrionAHalfMan
26,2020-06-11 17:34:48,"RT @4tvhyd: 4tv Khabarnama | 11 June 2020 | Hyderabad &amp; Telangana COVID-19 Updates
https://t.co/DhvrkSfR1t",syedsajidsufi
27,2020-06-11 17:34:19,RT @tkp1080: #COVID__19 . Girls most #vulnerable. Promote #GirlChildEducation. Provide incentives to increase School enrollment. Strive for…,Chandupraveen26
28,2020-06-11 17:34:07,"RT @MPsantoshtrs: Let's Embrace Season-3 #GreenIndiaChallenge. Amid #COVID situation all over, let us reconnect ourselves with the #Nature.…",farookhusain31
