Sentence,Frequency
the telangana government has launched a helpline to address mental health and psychological problems that may arise during the covid19 lockdown period,1
telangana commissionerate of health  family welfare launched helpline 108 to address mental health  psychosocial issues during lockdowncitizensí emotional wellbeing is one of our top priorities,1
108 helpline will be working 247 telanganafightscorona stayhomestaysafe pictwittercomdpte6prttx announcing the launch in a tweet on friday night minister for it and industries kt rama rao said telangana commissionerate of health  family welfare launched helpline 108 to address mental health  psychosocial issues during lockdown citizens emotional wellbeing is one of our top priorities,1
108 helpline will be working 247,1
according to telangana health and family welfare department as many as 53 people working under an national health mission nhm programme have been trained at the indian institute of health and family welfare here on covid19 mental health and counselling aspects for three days,1
the call centre would have two experienced psychiatrists to provide necessary support to the counsellors and also address serious psychological behavioural cases it said,1
isolation social distancing closure of schools workplaces and entertainment during the lockdown period are challenges that may affect the people and it is natural to feel stress anxiety fear and loneliness at that time the department said,1
the who has recommended that governments establish possible online counselling support services for effective handling of the mental health aspects of people during the coronavirus episode,1
as suggested by the centre the state government has explored existing 108 helpline to be utilised for mental health counselling to support the needy,1
ënoncovidí tag to bring back patients 2,1
indiaorigin doctor in lung transplant 3,1
rbi alert on nbfc health 4,1
six firs in saradha case 5,1
rims mgm online classes irregular say medical students copyright © 2017 the telegraph,1
all rights reserved,1
telangana govt launches helpline to address psychological issues during lockdown,1
washington the lifealtering effects of the covid19 pandemic are likely to result in lasting physical and mental health consequences for many people worldwide particularly those from vulnerable populations according to a study,1
researchers from the yale school of public health studied lowincome women from new orleans us who were surveyed the year prior to and at intervals after hurricane katrina struck in 2005,1
the women reported a range of traumatic experiences during katrina many of which are similar to those now occurring during the coronavirus pandemic including bereavement lack of access to medical care and scarcity of medications they said,1
the study published in the journal pnas showed that at one four and 12 years after the hurricane the exposures most strongly associated with posttraumatic stress psychological distress general health and physical health symptoms were those most common to the current pandemic,1
ìthis pandemic is likely to have profound short and longterm consequences for physical and mental healthî said sarah lowe assistant professor at yale school of public health,1
ìthese impacts are likely to be even larger than what we have seen in previous disasters like hurricane katrina given the distinctive qualities of the pandemic as a disasterî lowe said,1
the research did not include other exposures that are taking place during the pandemic such as financial losses and unemployment which are also likely to have additional and significant impacts on public health,1
the findings suggest that in addition to promoting actions to reduce covid19 transmission and addressing longstanding health disparities contributing to covid19 morbidity and mortality public health measures should also prevent and mitigate exposures that will have indirect effects on mental and physical health,1
this includes preventing lapses in medical care and medication access according to the researchers,1
another key exposure in the study was fear for oneís own safety and the safety of others they said,1
the researchers said public health messaging should provide tips for managing anxiety and fear in addition to promoting efforts to increase safety from covid19 transmission,1
supplemental health services should be provided to those who are bereaved or are experiencing clinically significant fear and anxiety related the pandemic lowe added,1
covid19 pandemic may cause longterm health problems study,1
hyderabad during the ongoing covid19 pandemic and lockdown a significantly high proportion of ophthalmologists were psychologically affected as they were are at an increased risk of close contact with the patient‚Äôs eyes and face according to an online study carried out by hyderabadbased lv prasad eye institute lvpei,1
carried out by lvpei in collaboration with all india ophthalmological society aios and the george institute for global health india the study showed that even health workers who are not in the forefront of covid19 care and at less risk of being affected are suffering from mental health consequences,1
psychological implications could be attributed to direct or indirect effects of the illness on livelihood and living conditions among healthcare professionals,1
asymptomatic transmission of the disease and lack of ppe kits and social discrimination caused a lot of fear and anxiety among the eye doctors,1
‚Äúthe national and state ophthalmology societies health administration and the government should be cognizant of the need to support the mental health of all the healthcare workers and not only those in the frontline of the management of covid19‚Äù said dr rohit c khanna epidemiologist and director rural eyecare services lvpei,1
the survey included 2355 ophthalmologists and ophthalmologistsintraining,1
overall the results indicated that 765 326 had some degree of depression out of which 504 eye specialists had mild depression 163 moderate and 101 specialists has severe depression,1
about 75 32 per cent ophthalmologists had suicidalselfharm ideations during the lockdown study said,1
doctors who were involved in the survey included dr rohit c khanna dr santosh g honavar asha latha metla amritendu bhattacharya and dr pallab k maulik,1
now you can get handpicked stories from telangana today on‚†telegram everyday,1
click the link to subscribe,1
