,0,1,2
0,2020-03-26 23:59:30+00:00,INDIA Must Release all Kashmiri Political detainees amid COVID-19 pandemic.,smnaseemiqbal
1,2020-03-26 23:59:17+00:00,कोरोना वायरस: डॉक्टर का दावा- भारत में इस वजह से नहीं बढ़ेगा डेथ रेट - Corona virus in india narinder kumar mehra covid 19 death toll spain america italy - AajTak ,snjvsmn
2,2020-03-26 23:58:47+00:00,Under testing is the primary reason. India is currently testing about 2500 samples a day with about 3-4% COVID-19 positive rate. That means we can find only ~75 - 100 new cases a day on average. Until the samples tested / day goes up - the infected numbers in India wont go up,neeharc
3,2020-03-26 23:58:41+00:00,"Apparently some Naturopathic doctor from India said that oil (coconut, olive) fights covid-19, so now my mom can't stop talking about it.",justbecks
4,2020-03-26 23:58:29+00:00,"Yes sir @siddaramaiah WHO situation report as on 30 Jan. First case reported in India, but not interested that and prevention to Covid-19. Congress Leader @RahulGandhi is warned it. BJP government doing only ""Operation Kamala all Time"" Its fully Administrative failure....",lingraj_naribol
5,2020-03-26 23:56:58+00:00,En este video vemos cómo en la #India capacitaron a un grupo de psicólogos conductuales para convencer a la población para que se quede en sus casas ante el #CoronaVirus #Covid #Covid19 #SanaDistancia ,DimeChacon_
6,2020-03-26 23:56:25+00:00,"Post Lockdown, Rise In Mercury May Prevent Spread Of COVID-19 In India: Top Microbiologists ",krishna8391
7,2020-03-26 23:55:47+00:00,"If you're looking for official news about the Novel Coronavirus and COVID-19, here are some examples of verified Telegram channels from health ministries around the world. India Israel Malaysia Ukraine Uzbekistan Remember these simple tips to stay… ",TelegramBeta
8,2020-03-26 23:55:00+00:00,¿Tiene fecha el fin de la pandemia mundial por covid-19? https://elitediario.com/tiene-fecha-el-fin-de-la-pandemia-mundial-de-covid-19/ #fecha #fin #pandemia #mundial #SARSCoV2 #coronavirus #covid19 #contagios #vacuna #infectados #muertes #EEUU #ReinoUnido #italia #Espana #Europa #Rusia #Asia #África #India #singapur #medidas #cura,elitediario
9,2020-03-26 23:54:48+00:00,#India allows #green energy deferrals due to COVID-19 https://renewablesnow.com/news/india-allows-green-energy-deferrals-due-to-covid-19-692121/?utm_source=Renewables+Now_subscribers+and+newsletter&amp;utm_campaign=279a1cd5f4-Renewables_Now_The_Daily_Newsletter_15_06_15_2017_&amp;utm_medium=email&amp;utm_term=0_990771841c-279a1cd5f4-259803281,EarthAccounting
10,2020-03-26 23:53:25+00:00,Así se controla que cubran la cuarentena en India #CuarentenaTotal #cuarentena #Covid_19 #SaludPública #CoronavirusEnArgentina #Coronavirus #CoronavirusPandemic #COVID19 #BuenJueves #YoMeQuedoEnCasa #ApoyoALasFuerzasArmadas,PaladarNegro912
11,2020-03-26 23:52:35+00:00,"""COVID-19: Over 600 Cases in India, FM Announces 1.7 lakh crore Package"" ",RikeshK54712518
12,2020-03-26 23:51:20+00:00,Thousands of migrants in India are left displaced in the ongoing COVID-19 crisis. AIF needs your help to carry out its emergency response plan for vulnerable communities in India. Donate now https://aif.org/donate/covid-19-response/ #AIFCOVID19Response,AIFoundation
13,2020-03-26 23:50:23+00:00,Our co-founder and CEO @kaushalvshah has started a series of audio Clips (mini-podcast) series along with Dr. Neha Gujarati (Scientist at @stonybrooku) on Covid 19 in Gujarati and English. Listen at: https://play.qlipcast.com/users/98 #COVID2019 #ahmedabad #gujarat #covidindia #staysafe,eVitalCare
14,2020-03-26 23:50:09+00:00,REQUEST INDIA INC. to donate 10% of their declared profits for FY 2018-19 as contributions for #pmorelieffund or for such reliefs that help those effected by COVID -19. Show us u care for us!!!,lalitmishra_hi
15,2020-03-26 23:49:50+00:00,This is brialliant.. Indian Railway to convert trains compartments into isolation wards. Logistical dream. Move the hospital/patients. Awesome #COVID19 #COVID2019 #covidindia #CovidIndia2019,WalkWayMusings
16,2020-03-26 23:48:26+00:00,"#AUDUSD last 2 days trades. 2 wins 1 loss (arrows) don't trade in US session, sleep time. up 15% this month. #Forex #Commodities #Futures #wyckoff #trading #tradingplan #India #motivation #pattern #tradingtips #Euro #forextrading #COVID #China #scalping #money please retweet",robinsteenberg2
