"words","negative","positive","polarity","pos_or_neg"
"attack",21,0,-21,"negative"
"crisis",58,0,-58,"negative"
"dead",46,0,-46,"negative"
"death",62,0,-62,"negative"
"failed",37,0,-37,"negative"
"failure",22,0,-22,"negative"
"free",0,29,29,"positive"
"infected",25,0,-25,"negative"
"infection",21,0,-21,"negative"
"issue",24,0,-24,"negative"
"issues",24,0,-24,"negative"
"lies",23,0,-23,"negative"
"proper",0,31,31,"positive"
"protection",0,20,20,"positive"
"protest",40,0,-40,"negative"
"protesting",22,0,-22,"negative"
"protests",23,0,-23,"negative"
"sad",20,0,-20,"negative"
"safe",0,29,29,"positive"
"shame",20,0,-20,"negative"
"strike",24,0,-24,"negative"
"support",0,26,26,"positive"
"top",0,27,27,"positive"
"virus",57,0,-57,"negative"
"worst",33,0,-33,"negative"
