"","words","sentiment","n","word"
"1","bad","disgust",39,"bad"
"2","battle","anger",94,"battle"
"3","break","surprise",56,"break"
"4","combat","anger",215,"combat"
"5","combat","fear",215,"combat"
"6","combat","negative",215,"combat"
"7","confirmed","positive",166,"confirmed"
"8","confirmed","trust",166,"confirmed"
"9","crisis","negative",175,"crisis"
"10","daily","anticipation",136,"daily"
"11","deadly","disgust",41,"deadly"
"12","dear","positive",167,"dear"
"13","death","anger",421,"death"
"14","death","anticipation",421,"death"
"15","death","disgust",421,"death"
"16","death","fear",421,"death"
"17","death","negative",421,"death"
"18","death","sadness",421,"death"
"19","death","surprise",421,"death"
"20","delay","disgust",45,"delay"
"21","disease","anger",159,"disease"
"22","disease","disgust",159,"disease"
"23","disease","fear",159,"disease"
"24","disease","negative",159,"disease"
"25","disease","sadness",159,"disease"
"26","emergency","fear",168,"emergency"
"27","emergency","negative",168,"emergency"
"28","emergency","sadness",168,"emergency"
"29","emergency","surprise",168,"emergency"
"30","epidemic","anger",72,"epidemic"
"31","epidemic","disgust",72,"epidemic"
"32","epidemic","sadness",72,"epidemic"
"33","epidemic","surprise",72,"epidemic"
"34","explosion","surprise",41,"explosion"
"35","fight","anger",704,"fight"
"36","fight","fear",704,"fight"
"37","fight","negative",704,"fight"
"38","fighting","anger",170,"fighting"
"39","fighting","negative",170,"fighting"
"40","food","joy",134,"food"
"41","god","anticipation",152,"god"
"42","god","joy",152,"god"
"43","god","trust",152,"god"
"44","government","fear",480,"government"
"45","government","negative",480,"government"
"46","hope","anticipation",132,"hope"
"47","hope","joy",132,"hope"
"48","hope","surprise",132,"hope"
"49","hospital","fear",239,"hospital"
"50","hospital","sadness",239,"hospital"
"51","hospital","trust",239,"hospital"
"52","illness","sadness",89,"illness"
"53","isolation","sadness",130,"isolation"
"54","malaria","disgust",68,"malaria"
"55","malaria","sadness",68,"malaria"
"56","march","positive",183,"march"
"57","medical","anticipation",305,"medical"
"58","medical","fear",305,"medical"
"59","medical","positive",305,"medical"
"60","medical","trust",305,"medical"
"61","ministry","joy",178,"ministry"
"62","ministry","positive",178,"ministry"
"63","ministry","trust",178,"ministry"
"64","money","anger",95,"money"
"65","money","joy",95,"money"
"66","money","surprise",95,"money"
"67","nation","trust",174,"nation"
"68","pandemic","fear",507,"pandemic"
"69","pandemic","negative",507,"pandemic"
"70","pandemic","sadness",507,"pandemic"
"71","plan","anticipation",143,"plan"
"72","police","fear",203,"police"
"73","police","positive",203,"police"
"74","police","trust",203,"police"
"75","public","anticipation",126,"public"
"76","relief","positive",191,"relief"
"77","safe","joy",328,"safe"
"78","safe","positive",328,"safe"
"79","safe","trust",328,"safe"
"80","salvation","joy",92,"salvation"
"81","save","joy",223,"save"
"82","save","positive",223,"save"
"83","save","trust",223,"save"
"84","share","anticipation",118,"share"
"85","share","joy",118,"share"
"86","sir","positive",581,"sir"
"87","sir","trust",581,"sir"
"88","stripped","disgust",38,"stripped"
"89","suffering","disgust",45,"suffering"
"90","tackle","surprise",44,"tackle"
"91","threat","anger",72,"threat"
"92","time","anticipation",442,"time"
"93","treat","anger",66,"treat"
"94","treat","disgust",66,"treat"
"95","treat","sadness",66,"treat"
"96","treat","surprise",66,"treat"
"97","trump","surprise",89,"trump"
"98","virus","negative",741,"virus"
"99","worship","anticipation",96,"worship"
"100","worship","joy",96,"worship"
