"","some_txt","emotion","polarity"
"1","covid indian dies in iran effort on to bring the rest homeindia news","unknown","positive"
"2","dear modi sir okay but you are not explaining whyon last trump visit to india you have put millions on risk including yourself to be exposed to covidafter huge covid breakout amp case have been registered but govt didnt care at all now why","joy","neutral"
"3","that horrible woman is so myopic she would rather try to get india swamped by covid just to score against modiji","anger","negative"
"4","it‚Äôs unclear today whether india is testing people with influenzalike illness ili for covid kinggeorge lko amp shimoga inst say they are testing for covid in the ili network would bring even outpatients under the government‚Äôs","unknown","negative"
"5","i was also watching some news from india that they have successfully treated covidcanada patients using anti viral mediations and chloroquine now hearing us also saying that they will be using chloroquine to treat covid patients","unknown","positive"
"6","to citizens to have a safe distance to avoid covid virus justice is given and we are happy for that bt country is on high alert its request toto have a look at such things this type of mob gathering will have negetive effect of citizens","anger","neutral"
"7","if at all govt had read what dr a p j kalam is holding in his hand inphoto as the president of india amp implemented it then india would have been almost ready to combat covid do it now amp save india rarely the president holds commoners project in hand amp posses","unknown","neutral"
"8","i come from india and called indian you come from america and americans virus come from china and called chinese i see some sense anyways the name is covid","unknown","negative"
"9","ive been concerned about india and africa in the covid breakout but silently hopeful that the warm temps would mean slow spread yet i also know that low testing rates will mean its slow to show india hascases so far anddeaths","joy","negative"
"10","be aware of how to fight against corona virus covid","unknown","negative"
"11","covid govt bans all international flights to india from marchto","unknown","positive"
"12","india urging you all to listen and abide the guidelines set byit will help a lot requesting you all to please follow the curfew set covid coronavirusupdate coronaviruschallenge coronavirusindia","joy","positive"
"13","dear we have booking forpassengers from india hyderabad to usa newark for mar th via online agency portal do we get full refund if we cancel the booking hope you will waive off the cancellation charges considering covid apprec","sadness","neutral"
"14","hot off the press ‚Äúalibaba pitches covid cloud tool yizhun intelligent raises m‚Äùasiaai china india singapore covid healthcare robotics funding startups","unknown","positive"
"15","good morning sir i think it is most important to control covid in ap apache india foot pvt ltd is one of the company in nellore district it is belongs to chinies aroundworkers are working there but the company people would not prov","joy","positive"
"16","en espa„a e italia no hay malaria ni tratamientos por eso el covid los jodi„ tan feo por eso en la india la tasa de infecci„n permanece baja hip„tesis ojo la malaria no es un coronavirus","unknown","neutral"
"17","‡û‡‡à‡‡Å‡‡ç ‡‡‡ç‡‡‡ï ‡‡‡‡ ‡‡ï‡ç‡ï‡‡Å‡ï‡ç‡ï‡Å ‡‡Å‡‡‡‡Å‡‡ç‡‡ˇ‡ ‡ö‡Ü‡‡ç‡‡Ä‡‡ç‡ï‡‡ç ‡Ö‡‡ç‡‡ ‡á‡‡Å ‡á‡‡Å‡‡‡‡ç ‡‡Ä‡ô‡ç‡ï‡‡ç ‡ï‡ö‡‡ã‡‡ ‡Ö‡ö‡ç‡ö‡‡ç ‡‡‡‡‡ç‡‡ç‡‡ã‡‡ç‡‡à‡‡‡ç ‡‡‡Å‡‡Å‡‡ç ‡ï‡‡‡ç‡‡ã‡‡çcovidindia coronaindia","unknown","positive"
"18","covid exposes india‚Äôs crumbling healthcare system healthcare health via","unknown","positive"
"19","india en toque de queda el domingo para evitar contagio por covidoncenoticias","unknown","neutral"
"20","feels so honoured to be in that list like i dont know how to express happy soul things which make me happy inside out was waiting for this kind of happiness for so long jantacurfew covidindia indiafightscorona","joy","positive"
"21","dear sirs given the current covid pandemic sincere request to give time till june end to get this connected systems are giving a lot of trouble and afraid to go out to di","fear","negative"
"22","suspected coronavirus patient who returned from sydney jumps off hospital building in delhi delhi india coronavirus coronavirusindia coronavirusupdate coronavirusoubreak covid covid covid covidindia","unknown","positive"
"23","janta curfew is not new to kashmir we already experienced it post th augustlet rest of india enjoy it amid breaking of covid indiafightscovid","joy","positive"
"24","no community transmission of covid in india random tests negative icmr","unknown","negative"
"25","sir covidissue is very bigbut ap govt still did not take any precautionsap govt soldiersvolunteers and sachivalayam staff and teachersare much more than other states in india but ap govt did not use their services for covidministerallakalikrishnasrinivas","unknown","positive"
"26","the new likely epicenters of covid epidemic india and the usthe eyes of darknessby dean koontzfacts or fiction","unknown","negative"
"27","indiafightscorona team india fighting covid together via namo app","joy","positive"
"28","seven patients who were treated for covid at jaipur‚Äôs sawai man singh sfs hospital and delhi‚Äôs safdarjung hospital in india have recovered the treatment protocol will be widely scaled to other hospitalsgoodcorvidnews pleasert","unknown","positive"
"29","shia sect in india cancels friday prayers amid rising covid cases the new indian express","unknown","positive"
"30","indiafightscorona janata curfew to combat covid pm modi‚Äôs call for awareness special appeal to senior citizens janta curfew for a safer india ensuring social distancing via mynt","unknown","negative"
