"words","sentiment","n"
"abruptly","negative",1
"absence","negative",1
"abuse","negative",1
"abyss","negative",1
"accessible","positive",1
"accusation","negative",2
"achievements","positive",2
"adamant","negative",2
"addict","negative",4
"adequate","positive",1
"admirable","positive",1
"admire","positive",2
"admirer","positive",1
"advanced","positive",1
"affliction","negative",1
"afford","positive",7
"affordable","positive",1
"afraid","negative",2
"aggravating","negative",1
"aggressive","negative",1
"aghast","negative",1
"agile","positive",1
"agony","negative",1
"alarming","negative",12
"alarmingly","negative",1
"allegations","negative",3
"allege","negative",2
"amazing","positive",2
"anger","negative",3
"angry","negative",2
"anguish","negative",1
"anxiety","negative",1
"anxious","negative",1
"apathy","negative",7
"apocalypse","negative",2
"appalling","negative",1
"appeal","positive",2
"appreciated","positive",16
"approval","positive",2
"arrogance","negative",2
"arrogant","negative",1
"ashamed","negative",2
"aspersions","negative",1
"assault","negative",1
"assurance","positive",1
"attack","negative",21
"attacks","negative",10
"audacity","negative",1
"authentic","positive",1
"authoritarian","negative",1
"autonomous","positive",1
"awful","negative",1
"bad","negative",14
"badly","negative",5
"bane","negative",1
"beautiful","positive",2
"beauty","positive",1
"beg","negative",3
"beloved","positive",1
"benefit","positive",1
"benefits","positive",6
"bitter","negative",1
"bizarre","negative",1
"blame","negative",6
"blessing","positive",2
"blind","negative",1
"bloated","negative",1
"bloody","negative",3
"blow","negative",3
"bogus","negative",1
"bomb","negative",3
"boost","positive",1
"bother","negative",1
"bothered","negative",3
"bothers","negative",1
"boycott","negative",4
"brainless","negative",2
"brave","positive",1
"bravery","positive",1
"brazen","negative",1
"break","negative",3
"breaking","negative",7
"bright","positive",1
"broke","negative",1
"bullshit","negative",1
"burden","negative",11
"burns","negative",3
"calm","positive",1
"cancer","negative",4
"cancerous","negative",1
"capable","positive",2
"careless","negative",1
"carelessness","negative",1
"catastrophes","negative",1
"celebrated","positive",1
"challenging","negative",1
"champion","positive",1
"chaos","negative",2
"chaotic","negative",1
"charming","positive",1
"cheated","negative",1
"cheats","negative",1
"clarity","positive",1
"cleanliness","positive",4
"cleared","positive",2
"clears","positive",1
"clever","positive",1
"cloud","negative",1
"clueless","negative",2
"cold","negative",2
"collapse","negative",1
"commendable","positive",2
"commitment","positive",3
"commotion","negative",1
"compassionate","positive",1
"complaining","negative",5
"complaints","negative",1
"complex","negative",4
"complicated","negative",1
"comprehensive","positive",1
"concern","negative",9
"concerned","negative",8
"concerns","negative",4
"condemnable","negative",1
"confidence","positive",4
"confident","positive",1
"confined","negative",1
"confuse","negative",5
"confused","negative",1
"confusion","negative",2
"congested","negative",1
"congratulations","positive",2
"consistent","positive",3
"consistently","positive",1
"conspiracy","negative",2
"contaminated","negative",1
"contaminating","negative",1
"contempt","negative",1
"continuity","positive",2
"contribution","positive",3
"controversial","negative",2
"convenient","positive",2
"correct","positive",7
"correctly","positive",1
"corrupt","negative",1
"criminal","negative",1
"crisis","negative",58
"critical","negative",6
"criticism","negative",2
"criticize","negative",1
"criticizing","negative",1
"crowded","negative",1
"crumbling","negative",2
"crush","negative",1
"culprit","negative",1
"cure","positive",14
"curse","negative",1
"cute","positive",1
"damage","negative",3
"damaged","negative",1
"damaging","negative",1
"damn","negative",1
"danger","negative",5
"dangerous","negative",7
"darkness","negative",2
"dead","negative",46
"deadly","negative",4
"deaf","negative",1
"death","negative",62
"debt","negative",2
"deceiving","negative",1
"decline","negative",2
"declines","negative",1
"dedicated","positive",5
"defeat","positive",1
"delay","negative",3
"delusional","negative",1
"demise","negative",1
"denied","negative",3
"deny","negative",1
"denying","negative",1
"dependable","positive",1
"depressing","negative",1
"depression","negative",4
"desperate","negative",1
"devastating","negative",1
"dictatorial","negative",2
"die","negative",7
"died","negative",17
"dies","negative",6
"difficult","negative",3
"difficulties","negative",1
"difficulty","negative",2
"dignity","positive",1
"dilapidated","negative",1
"dilemma","negative",1
"diligently","positive",2
"din","negative",3
"dire","negative",1
"dirty","negative",3
"disappointed","negative",1
"disappointing","negative",1
"disaster","negative",8
"disastrous","negative",1
"disgusting","negative",1
"disheartening","negative",4
"dismay","negative",1
"displeasure","negative",1
"dissent","negative",1
"disturbed","negative",1
"dote","positive",1
"doubt","negative",4
"doubts","negative",2
"downside","negative",1
"draconian","negative",2
"dragging","negative",1
"drastically","negative",1
"drought","negative",4
"dumb","negative",3
"dump","negative",1
"dumping","negative",1
